,comomentum
19921225,0.232348915
19930101,0.187275682
19930108,0.198233378
19930115,0.148272712
19930122,0.224485542
19930129,0.198665229
19930205,0.252826868
19930212,0.20582429
19930219,0.265036587
19930226,0.247620346
19930305,0.24916906
19930312,0.254058398
19930319,0.274245642
19930326,0.27384865
19930402,0.243607363
19930409,0.266859379
19930416,0.24960679
19930423,0.268155309
19930430,0.270129812
19930507,0.244848815
19930514,0.293277705
19930521,0.304211819
19930528,0.285094156
19930604,0.259596064
19930611,0.261458339
19930618,0.275289589
19930625,0.28408097
19930702,0.300564684
19930709,0.269838823
19930716,0.264433589
19930723,0.202988413
19930730,0.117646624
19930806,0.208709643
19930813,0.221261652
19930820,0.200481163
19930827,0.22597789
19930903,0.174786874
19930910,0.255137875
19930917,0.206580322
19930924,0.182848109
19931001,0.183229296
19931008,0.179134101
19931015,0.200830935
19931022,0.230900904
19931029,0.23391929
19931105,0.180760724
19931112,0.247849109
19931119,0.219358377
19931126,0.229258232
19931203,0.232543395
19931210,0.202745288
19931217,0.220746603
19931224,0.211300395
19931231,0.183317986
19940107,0.213613862
19940114,0.210334133
19940121,0.166172977
19940128,0.184409365
19940204,0.244136712
19940211,0.181303061
19940218,0.20994443
19940225,0.196567195
19940304,0.206032736
19940311,0.213916454
19940318,0.157503876
19940325,0.214479638
19940401,0.241056577
19940408,0.184619779
19940415,0.23125926
19940422,0.214192675
19940429,0.227900489
19940506,0.204189866
19940513,0.196234852
19940520,0.210312518
19940527,0.193648128
19940603,0.192418028
19940610,0.181521215
19940617,0.210968291
19940624,0.200981898
19940701,0.18588939
19940708,0.205890315
19940715,0.182123703
19940722,0.078822975
19940729,0.140651458
19940805,0.219567898
19940812,0.14304931
19940819,0.122361221
19940826,0.171235121
19940902,0.149845441
19940909,0.103283668
19940916,0.175433468
19940923,0.079018723
19940930,0.162892786
19941007,0.115453371
19941014,0.106290207
19941021,0.114751902
19941028,0.096630149
19941104,0.127694819
19941111,0.030683618
19941118,0.107687663
19941125,0.052935587
19941202,0.036944889
19941209,0.035797457
19941216,0.054350789
19941223,0.034929325
19941230,0.042043915
19950106,0.03905064
19950113,0.053252136
19950120,0.086757968
19950127,0.058734575
19950203,0.06244677
19950210,0.10544614
19950217,0.09098649
19950224,0.117669892
19950303,0.100130469
19950310,0.073492542
19950317,0.12263057
19950324,0.051463675
19950331,0.091552293
19950407,0.0621922
19950414,0.087605083
19950421,0.007046569
19950428,0.050152888
19950505,0.066231111
19950512,0.065216376
19950519,0.092315381
19950526,0.070872903
19950602,0.07511269
19950609,0.087179929
19950616,0.080477551
19950623,0.10029735
19950630,0.045072221
19950707,0.074297321
19950714,0.109565328
19950721,-0.050543812
19950728,0.069982688
19950804,-0.033285232
19950811,0.047847098
19950818,0.012320618
19950825,0.070434851
19950901,0.042346268
19950908,0.065947859
19950915,0.143883783
19950922,0.089842718
19950929,0.094165028
19951006,0.087948648
19951013,0.121881295
19951020,0.089012802
19951027,0.12927471
19951103,0.126587735
19951110,0.114661295
19951117,0.183288682
19951124,0.198589123
19951201,0.159709859
19951208,0.192313328
19951215,0.235517623
19951222,0.223399551
19951229,0.234692303
19960105,0.231466287
19960112,0.223063087
19960119,0.185670325
19960126,0.21092603
19960202,0.236642706
19960209,0.237895903
19960216,0.236568529
19960223,0.193068176
19960301,0.218062275
19960308,0.215822031
19960315,0.214371562
19960322,0.125132985
19960329,0.14566861
19960405,0.142038345
19960412,0.184738447
19960419,0.117733747
19960426,0.132470347
19960503,0.134298127
19960510,0.126452484
19960517,0.059701556
19960524,0.144922302
19960531,0.154073458
19960607,0.159845751
19960614,0.140923681
19960621,0.137051249
19960628,0.166803764
19960705,0.156117496
19960712,0.161237426
19960719,0.108439113
19960726,0.101386358
19960802,0.137968102
19960809,0.134643059
19960816,0.195126169
19960823,0.147972509
19960830,0.12245104
19960906,0.131845579
19960913,0.114498443
19960920,0.14409743
19960927,0.126039876
19961004,0.143216842
19961011,0.117094082
19961018,0.106229456
19961025,0.212395006
19961101,0.153852793
19961108,0.131312101
19961115,0.149385499
19961122,0.117812776
19961129,0.095611973
19961206,0.148205745
19961213,0.144761506
19961220,0.155530805
19961227,0.151788202
19970103,0.102410803
19970110,0.146127575
19970117,0.143559673
19970124,0.157791823
19970131,0.175239847
19970207,0.202063856
19970214,0.164592727
19970221,0.155716401
19970228,0.167081563
19970307,0.155920414
19970314,0.193809339
19970321,0.191249406
19970328,0.161118462
19970404,0.172895419
19970411,0.207928924
19970418,0.229972561
19970425,0.176167086
19970502,0.172134215
19970509,0.143326811
19970516,0.158949657
19970523,0.173871562
19970530,0.178823607
19970606,0.172063258
19970613,0.195373629
19970620,0.198917468
19970627,0.202835273
19970704,0.20327675
