,intercept,gamma
19920103,,
19920110,,
19920117,,
19920124,,
19920131,,
19920207,,
19920214,,
19920221,,
19920228,,
19920306,,
19920313,,
19920320,,
19920327,,
19920403,,
19920410,,
19920417,,
19920424,,
19920501,,
19920508,,
19920515,,
19920522,,
19920529,,
19920605,,
19920612,,
19920619,,
19920626,,
19920703,,
19920710,,
19920717,,
19920724,,
19920731,,
19920807,,
19920814,,
19920821,,
19920828,,
19920904,,
19920911,,
19920918,,
19920925,,
19921002,,
19921009,,
19921016,,
19921023,,
19921030,,
19921106,,
19921113,,
19921120,,
19921127,,
19921204,,
19921211,,
19921218,-0.003395265953708741,0.022856792616658992
19921225,0.012458687560988741,0.003143249399742842
19930101,-0.01347612643794208,0.01109416641321256
19930108,0.01940568649474229,0.02521631793332483
19930115,-0.00211577871572849,0.03212368937624212
19930122,0.0029039588707616476,-0.013203156739552309
19930129,0.023062331251951673,0.016493481786473523
19930205,-0.010711512432637288,-0.005882702755246728
19930212,-0.03488420637907814,0.023361730408506292
19930219,0.017174339600331236,0.005456727820006434
19930226,0.010308233044109875,0.013554674707174955
19930305,0.004917580012526186,0.037802712647468095
19930312,-6.774278409839101e-05,0.00862654687853332
19930319,-0.006889904913397219,0.023772048846188377
19930326,-0.01807112052349444,-0.0032043567259227067
19930402,-0.010945155292623509,0.05357245787523913
19930409,0.02046493901526912,-0.0033322643940469584
19930416,-0.011726541823318141,-0.04279901956817013
19930423,0.0007372433322698751,0.010823442951832896
19930430,0.009158137626484725,0.027128749282534007
19930507,-0.003057807041347708,-0.019678981149153917
19930514,0.010491602170949558,0.019266765562995735
19930521,0.009993494220098742,0.014895414303729995
19930528,-0.0008855772062304485,0.005454004112551106
19930604,-0.012852675368914143,-0.010114464052042806
19930611,-0.00635130325324406,-0.002199229475470346
19930618,0.005081005532968964,0.020435995747168405
19930625,0.005807083155887767,0.010217967014998604
19930702,0.003555971742817588,-0.010386322856388241
19930709,-0.0033228987576150518,-0.0034738424516261865
19930716,-0.0038979344939393534,0.02507877480119087
19930723,0.003014453870050334,0.004146127608098929
19930730,0.00205336416884879,0.022490187331295403
19930806,0.001993177748931468,0.015856438898101087
19930813,0.01884846710007843,-0.02620529086092714
19930820,0.005504055407431487,0.008002572042877623
19930827,0.009548618497431199,-0.007473060159148209
19930903,-0.0063448998460985916,0.004660414531449161
19930910,-0.008736049937184487,0.0024618375342303693
19930917,-0.007225288431960113,0.0389604277111171
19930924,0.006981392116495607,-0.0006951145279001028
19931001,-0.008547789791241548,-0.008188510317563673
19931008,0.019366300801766385,0.007241519480177569
19931015,-0.009059804085030536,-0.011604714226588821
19931022,0.013992953570058616,-0.010149979023886913
19931029,-0.018614864422067393,-0.028909346089503577
19931105,0.01893962308540877,0.0028167013012364
19931112,-0.012835538500197237,-0.03139199828663405
19931119,0.005027715523953495,0.013702065832174303
19931126,0.011945924797917031,0.007534173554661786
19931203,0.0018640610688019882,-0.010147541830030426
19931210,0.006883364572685708,-0.015083778650192177
19931217,0.0013108780482033616,0.00968002785551654
19931224,0.009153745009858513,0.014160163416537535
19931231,0.00531725168199519,-0.02649728109803303
19940107,0.007745518439972902,0.022191794678056483
19940114,0.004994221256545188,-0.010878680531346416
19940121,0.010433891815833745,0.0047461163325264255
19940128,-0.018596811260389572,0.0028796375063201247
19940204,0.008170005627737939,0.02935606377749891
19940211,-0.005737543055059711,0.0022535154866092245
19940218,-0.002021407022833148,-0.0020670347423014986
19940225,0.005114372552799493,-0.023548287544703193
19940304,0.00240757168574889,-0.0012338807627158526
19940311,0.012231372599320969,0.011585689328015557
19940318,-0.019463437944489806,-0.033513481776348095
19940325,-0.03855941836224398,-0.01804637261646602
19940401,0.004789875662207649,0.015163059454092508
19940408,-0.0017571360848579855,-0.050823022433227935
19940415,-0.0005315152364139828,-0.016412035860775068
19940422,0.013355446206742177,0.031507675536976955
19940429,-0.0036658980099966263,-0.02630662710630143
19940506,-0.019859970221911556,-0.021626521158256425
19940513,0.02354469939328212,-0.01942493718070363
19940520,0.007974380951969454,-0.011174203387219446
19940527,0.00893918073819905,-0.0054447230964700995
19940603,-0.0050080364219210645,-0.0425491162276489
19940610,-0.0033316407087487184,0.017567235212587004
19940617,-0.040662634001201625,-0.009628692864825898
19940624,0.014964608429913,0.022033581002554436
19940701,0.006124980771208413,-0.004493513980232054
19940708,0.014765959617197408,-0.0014372030199651927
19940715,-0.0027893012122643807,-0.0377884390823997
19940722,0.009733651474533839,-0.011383015640203473
19940729,0.001065301185798701,-0.00846216770811874
19940805,0.014141924201676412,-0.0014261006030410871
19940812,0.0036347313926417047,0.02116808658582515
19940819,0.021462618677103713,0.028491487063642417
19940826,-0.0007669105329706396,-0.010127762416873928
19940902,-0.0033678554831911957,0.014642358623306827
19940909,0.007158635801629848,0.03782586538587691
19940916,-0.029354004041690942,0.007776842719274888
19940923,0.007999011466701558,0.0023523892998783603
19940930,-0.0206229052875594,0.013142802917276446
19941007,0.024586512983990946,0.0005512800407293469
19941014,-0.007181029014820704,0.028780240450886296
19941021,0.011476653384880105,0.015713560713950747
19941028,-0.01530727406280987,-0.023812331539611768
19941104,-0.007907170876154335,0.0020924345077820076
19941111,-0.004616303276715967,0.023312331097953623
19941118,-0.02137240684658229,-0.01632058714911018
19941125,0.0034340100068365347,-0.005360778870682358
19941202,-0.020495159237965424,-0.011596979099872569
19941209,0.030178059458655628,-0.005549435212571615
19941216,0.011870481480396053,-0.009540295540994259
19941223,0.0059400834080727966,0.016179680194990366
